Account,Area,Attrition ($),Swing ($),Stage,Type,Reason,Reason Detail,CSG Notes,Close Date,Renewed ($),Opportunity ID,Status
Con Edison - Steam,MAE,261510,,05 Closed,Renewal,Competitive,Switched to a Direct Competitor,5/4/26 CSAL CCap #LicPartialAttrit; Standard Success for Tab.,2026-05-26,858450,006ed00000DysIzAAJ,Closed/Lost
NexTier Completion Solutions,MAE,195480,,05 Closed,Renewal,Competitive,Replaced with an In-House Solution,,2026-05-14,13800,006ed00000DQwthAAD,Closed/Lost
Advanced Drainage Systems Inc.,MAE,172942,,Dead Attrition,Renewal,Competitive,Switched to a Direct Competitor,5/21/2026 Sai Pedireddi #LicFullAttrit ADS fully attrited $172;942 Tableau renewal due to 6% license adoption; competitive displacement by Power BI,2026-05-14,0,0063y000019IcuHAAS,Closed/Lost
Abercrombie & Fitch Management Co.,RCG,165420,,05 Closed,Renewal,Business Change & Distress,Business Direction Change - Product No Longer Relevant,05/21 RL #LicPartialAttrit #PBI Customer will reduce licenses at renewal,2026-05-29,2700,006ed00000EAqbZAAT,Closed/Lost
Michael Kors (USA),RCG,145036.2,,Dead Attrition,Renewal,Financial & Contractual,Limited Life Licenses (Short-Term Project),ROR unable to be filed due to Capri oppty already netted down,2026-05-02,0,006ed00000CgSx3AAF,Closed/Lost
