Account,Area,Attrition ($),Swing ($),Stage,Type,Reason,Reason Detail,CSG Notes,Close Date,Renewed ($),Opportunity ID,Status
Otter Products LLC,CMRCL,1286540,,Dead Attrition,Renewal,Business Change & Distress,Financial Distress - Downsizing/Reduced Workforce,1/14/26 - SAW- #fullattrit Provided notice of non renewal,2026-06-30,0,006ed00000G5fFpAAJ,Closed/Lost
Dooney & Bourke Inc.,CMRCL,1032227,,03 Agreed,Renewal,Product,Product Feature Gap,2/13/2026 CSAL CChau #FullAttrit #LicFullAttrit - customer going to Shopify,2026-06-30,146062.5,0063y000017ltqnAAA,Still in Play
The Honest Company Inc,CMRCL,460750,,Dead Attrition,Renewal,Business Change & Distress,Business Direction Change - Product No Longer Relevant,3/9/2026 CSAL CChau #PartialAttrit #LicPartialAttrit - attrition due to projected GMV usage shortfall.,2026-06-01,0,006ed00000EIT9xAAH,Closed/Lost
Fanatics Holdings Inc.,RCG,228521.1,,05 Closed,Renewal,Success Plan & Support,Low Success Plan Utilization (Quality/Timeline),2/19/26 - SAW- Build first strategy.,2026-06-06,566213.56,0063y000019XWJTAA4,Closed/Lost
Mountaire Farms Inc.,RCG,200000,,01 - Identifying an Opportunity,Order Form,,,,2026-06-12,0,006ed00000Y5olNAAR,Still in Play
CF Industries Enterprises LLC,CMRCL,149976,,04 Pending,Renewal,Adoption,Lack of Internal Sponsorship,,2026-06-30,0,0063y000019RVzYAAW,Still in Play
Absolute Beauty LLC,CMRCL,113891.4,,05 Closed,Renewal,Competitive,Switched to a Direct Competitor,,2026-06-15,85608.6,0063y000018WexFAAS,Closed/Lost
