Account,Area,Attrition ($),Swing ($),Stage,Type,Reason,Reason Detail,CSG Notes,Close Date,Renewed ($),Opportunity ID,Status
BJ's Wholesale Club Inc,RCG,332893.3,0,05 Closed,Renewal,Implementation,Partner Led - Partner Issue,4/30/26- SAW- #fullattrit #nonactionable - core contract almost finalized.,2026-05-14,1000,0063y000019Ix7SAAS,Closed/Lost
New Balance Athletics Inc. - Corporate,RCG,299925.3,,Dead Attrition,Renewal,Business Change & Distress,Business Direction Change - Product No Longer Relevant,5/4/2026 E McNaughton #LicFullAttrit #NoSigRisk Per AE - customer is not renewing full attrit.,2026-05-14,0,006ed00000DQc0YAAT,Closed/Lost
Trends International (Main),CMRCL,173333.4,,Dead Attrition,Off-Cycle Ramp Down,Business Change & Distress,Business Direction Change - Product No Longer Relevant,June 4 Jaqueline Galindo #SigRisk #LicNoAttrit,2026-05-28,0,006ed00000L3KcQAAV,Closed/Lost
The Reformation,CMRCL,159000,,Dead Attrition,Off-Cycle Non Coterminous Order,Business Change & Distress,Business Direction Change - Product No Longer Relevant,05/26/26 #Full Attrit#SigRisk#RA - Shelley Whatley,2026-05-31,0,006ed00000FFBH4AAP,Closed/Lost
