Account,Area,Attrition ($),Swing ($),Stage,Type,Reason,Reason Detail,CSG Notes,Close Date,Renewed ($),Opportunity ID,Status
Shiseido Company Limited,RCG,4304160,,Dead Attrition,Renewal,Unspecified,No Reason Given,,2026-05-31,0,0063y000019XMsFAAW,Closed/Lost
The Chamberlain Group LLC,MAE,1890614.6,0,05 Closed,Renewal,Financial & Contractual,Low Perceived ROI,4/28/26 CSAL GY #LicPartialAttrit - the $1.2M is from MC attrition; #ARI was approved,2026-05-22,4290,006ed000003vTBdAAM,Closed/Lost
84.51° LLC,RCG,944398,,05 Closed,Renewal,Business Change & Distress,Business Direction Change - Transfer of Users to New Org,1/8/26 : #NoAttrit; utilization in 80s% no risk identified,2026-05-28,83372.69,006ed00000EE8yXAAT,Closed/Lost
Rich Products Corporation,RCG,591718.9,,05 Closed,Renewal,Adoption,Lack of Internal Sponsorship,5/6/2026 Phil Nowak #SigRisk #LicPartialAttrit $396;304.88 attrition risk.,2026-05-29,61985.98,006ed00000EBzGEAA1,Closed/Lost
American Electric Power,MAE,300000,,Dead Attrition,Renewal,Success Plan & Support,Low Success Plan Utilization (Quality/Timeline),4/27/26 JSS #NoAttrit #SigRisk Renewal = Sig only.,2026-05-31,0,006ed00000EE0piAAD,Closed/Lost
Hickory Farms Inc.,CMRCL,234447.7,,05 Closed,Renewal,Business Change & Distress,Financial Distress - Need to Cut Costs,3/2/2026 CSAL CChau #PartialAttrit #LicPartialAttrit - economic distress,2026-05-07,48427.52,006ed00000D4dheAAB,Closed/Lost
CSI Compressco LP (sub of Kodiak),CMRCL,142201.2,,Dead Attrition,Renewal,Implementation,Customer Led - Customer Issue,,2026-05-14,0,006ed00000DQe0jAAD,Closed/Lost
Abacode,RCG,138167.6,,05 Closed,Renewal,Business Change & Distress,Business Direction Change - Restructuring/Internal License Reduction,3/12/26 AJ #PartialAttrit M&A; shelfware,2026-05-31,97635.6,006ed00000TfwYpAAJ,Closed/Lost
