Account,Area,Attrition ($),Swing ($),Stage,Type,Reason,Reason Detail,CSG Notes,Close Date,Renewed ($),Opportunity ID,Status
Nissan North America Inc.,MAE,3290296.8,2000000,02 Negotiate,Renewal,Business Change & Distress,Financial Distress - Downsizing/Reduced Workforce,06/09/26: WA #RA #PBI #LicPartialAttrit #SigAttrit #swap. Expecting $2M Attrition with PBI replacing Tableau.,2026-07-24,0,006ed0000081mytAAA,Still in Play
Restaurant Brands International US Services LLC,RCG,551107.8,551107.8,03 Agreed,Renewal,Competitive,Switched to a Direct Competitor,5/28/26 TW #NoSigRisk #LicNoAttrit AE met w/ Justin,2026-07-30,0,006ed00000I0jFhAAJ,Still in Play
Ferrara Candy Company,RCG,416394.3,,01 Initiate,Renewal,Customer Relationship,Relationship Issues (Lack of Responsiveness),04/13 RL #LicPartialRisk Risk due to lack of engagement,2026-07-13,46800,006ed00000Gnw4rAAB,Still in Play
Shipt Inc.,RCG,353967.7,,04 Pending,Renewal,Adoption,Lack of Internal Sponsorship,6/2 - #LicPartialRisk Risk identified,2026-07-16,653422.5,0063y00001ArtpmAAB,Still in Play
Solventum US LLC,MAE,230838.4,0,01 Initiate,Renewal,Competitive,Switched to a Direct Competitor,6/2/26 CSAL GY #LicFullAttrit - possible swap to Tab Next or Slack,2026-07-18,587179.8,006ed00000H7tnZAAR,Still in Play
Oldcastle Services Inc.,MAE,207979.2,209370,01 Initiate,Renewal,Product,Product Feature Gap,6/26 CSM SP #NoAttrit - there's no risk of attrition; trying to expand,2026-07-30,1396360.8,0063y000018ciknAAA,Still in Play
Cars.com LLC dba Cars Commerce,CMRCL,200405.6,200000,02 Negotiate,Renewal,Business Change & Distress,Financial Distress - Downsizing/Reduced Workforce,6/26/26 Justin Winschel #LicPartialAttrit #SigRisk #AFAttrit #ARI,2026-07-31,4987496.88,0063y000018kBStAAM,Still in Play
